Id;First_observation;Status_2019;Longitude;Latitude
1;2014;Present;4,025684258;51,09816321
2;2014;Present;4,016615515;51,09863597
3;2014;Present;4,151767918;51,04388169
4;2014;Absent;4,114237406;51,00753674
5;2014;Present;4,37436435;51,07678204
6;2014;Absent;4,509169501;51,02199603
7;2014;Present;4,485505488;50,98396809
8;2014;Absent;4,443062199;50,95011066
9;2014;Absent;4,599274889;50,89853769
10;2014;Present;4,587687693;50,99115664
11;2014;Present;4,638273954;51,17636033
12;2014;Present;5,204935147;51,23316348
13;2014;Absent;5,043947937;51,16878987
14;2014;Present;5,142067466;50,98326405
15;2014;Present;4,843844399;50,92895473
16;2014;Present;4,778020505;50,93336514
17;2014;Present;4,747895627;50,93168255
18;2014;Absent;4,788701434;50,97019328
19;2014;Present;4,752951383;50,97447796
20;2014;Present;4,697469953;50,98653849
21;2014;Present;5,396143967;50,92272128
22;2014;Present;5,630477351;51,20468662
23;2014;Present;5,671983945;51,18088788
24;2014;Present;5,819741556;51,15670008
25;2014;Present;5,83435656;51,15594858
26;2014;Present;5,837005321;51,14996888
27;2014;Present;5,840542195;51,14219398
28;2014;Present;5,819456838;51,13294032
29;2014;Present;5,812016299;51,10627099
30;2014;Present;5,824125035;51,10076993
31;2014;Absent;5,687251879;51,10356994
32;2014;Present;5,693777292;51,06722188
33;2014;Present;5,756691167;51,05638761
34;2014;Present;5,763882646;51,04440887
35;2014;Present;5,744777157;51,03630814
36;2014;Present;5,765983721;51,02000159
37;2014;Present;5,772563638;51,01932857
38;2014;Absent;5,715447038;51,00037151
39;2014;Present;5,732741762;50,97935787
40;2014;Absent;5,71057618;50,92906363
41;2014;Present;5,691141339;50,90728014
42;2014;Present;5,615636;51,17699185
43;2014;Present;5,609343078;51,16200201
44;2014;Present;5,73820667;51,06595917
45;2014;Absent;5,723328156;50,75429053
46;2014;Present;5,500266087;50,77658337
47;2014;Present;5,437128963;50,75324036
48;2014;Present;4,928998669;50,79522246
49;2014;Present;4,743726856;50,85732895
50;2014;Present;4,672698758;50,85646458
51;2014;Absent;4,666453308;50,84934515
52;2014;Absent;4,659668401;50,84579446
53;2014;Present;4,6517511;50,84117581
54;2014;Present;4,643188438;50,82228709
55;2014;Absent;4,644226935;50,80729999
56;2014;Present;4,646714119;50,78839908
57;2014;Present;4,641308025;50,78946788
58;2014;Present;4,639650361;50,79482343
59;2014;Present;4,639005286;50,78055372
60;2014;Present;4,638951907;50,77127754
61;2014;Present;4,65013612;50,7598341
62;2014;Present;4,622496741;50,77893529
63;2014;Present;4,611943748;50,77098013
64;2014;Present;4,594462813;50,76280926
65;2014;Present;4,578454096;50,75548943
66;2014;Present;4,564921144;50,74730698
67;2014;Present;5,728754696;50,92478873
68;2014;Present;5,691948273;50,89987292
69;2014;Present;5,587298049;50,89954337
70;2016;Present;4,31416308;51,15483622
71;2014;Present;4,307101491;51,13253667
72;2014;Present;3,977679591;51,13550623
