pointid,sample_order,batch,regio,area_prop_sb,openheid_klasse,sbp,x_coord,y_coord,crs
Km_10015,238,eerste set,Kempen,0.00613001466431762,HOL,binnen,223858.672743782,201243.04852096,31370
Km_10019,1,eerste set,Kempen,0.00155738792964507,HOL,binnen,226481.366306441,200248.072193034,31370
Km_10056.3,5,eerste set,Kempen,0,HOL,binnen,223991.595307718,195540.287102061,31370
Km_10565.2.3,201,eerste set,Kempen,0,HOL,binnen,186204.111619291,185632.200112075,31370
Km_10577.3,13,eerste set,Kempen,0,HOL,binnen,185583.860203965,187205.913109917,31370
Km_10810.1,96,eerste set,Kempen,0,HOL,binnen,247119.982973765,205759.405339961,31370
Km_10812.1.1,184,eerste set,Kempen,0,HOL,binnen,247392.700114609,206367.254589509,31370
Km_10910,57,eerste set,Kempen,0,HOL,binnen,246957.485421227,207139.811292668,31370
Km_1116.1.23,220,eerste set,Kempen,0,HOL,binnen,244781.179870917,203293.764518946,31370
Km_11263.1.2,123,eerste set,Kempen,0,HOL,binnen,201731.204014725,222991.906376488,31370
Km_11376.3.3,155,eerste set,Kempen,0,HOL,binnen,245318.720311796,206803.212136122,31370
Km_11561.4,172,eerste set,Kempen,0,HOL,binnen,165857.209746291,234663.08103121,31370
Km_12398,528,eerste set,Kempen,0,HOL,binnen,176780.07866109101,199846.944507505,31370
Km_12411.5,41,eerste set,Kempen,0,HOL,binnen,178362.007617482,199477.535867184,31370
Km_12542.1,167,eerste set,Kempen,0,HOL,binnen,190722.750436944,188168.440834012,31370
Km_12787,362,eerste set,Kempen,0,HOL,binnen,203793.495770403,222426.625482519,31370
Km_12865.2,293,eerste set,Kempen,0.0256499793106701,HOL,binnen,229612.571539115,199563.622754233,31370
Km_12920.7,354,eerste set,Kempen,0.0391158599250525,HOL,binnen,183680.867800221,199165.970181487,31370
Km_12937.1,111,eerste set,Kempen,0,HOL,binnen,184306.825576594,199896.462446823,31370
Km_13072.2.3,223,eerste set,Kempen,0.100702877644683,HOL,binnen,195230.459468193,209951.950718536,31370
Km_13310.1.3,194,eerste set,Kempen,0,HOL,binnen,227036.548021239,205501.098239739,31370
Km_13448.5.3,225,eerste set,Kempen,0.0197555445019617,HOL,binnen,190243.504462115,210548.379491085,31370
Km_13793.10,236,eerste set,Kempen,0,HOL,binnen,177236.8424348,214023.673495062,31370
Km_13799.2,45,eerste set,Kempen,0,HOL,binnen,188221.031324958,230354.126948068,31370
Km_13877,42,eerste set,Kempen,0,HOL,binnen,177469.370211108,213050.92854126,31370
Km_14086.1.6,304,eerste set,Kempen,0,HOL,binnen,164083.659215912,234923.608131027,31370
Km_14087.4,377,eerste set,Kempen,0,HOL,binnen,162388.942968449,232944.755289549,31370
Km_14157.4,273,eerste set,Kempen,0,HOL,binnen,224807.352387838,199503.845435069,31370
Km_14553.16,35,eerste set,Kempen,0,HOL,binnen,243120.261754353,204250.909754734,31370
Km_14566.1.2,209,eerste set,Kempen,0,HOL,binnen,249155.780223942,202648.989688889,31370
