,pointid,year,period,% bare soil
0,Km_10015,2023,R1,0.499656439181063
1,Km_10019,2023,R1,2.85369440590087
2,Km_10056.3,2023,R1,9.964779092692012
3,Km_10565.2.3,2023,R1,46.105009776660005
4,Km_10577.3,2023,R1,1.361615954586871
5,Km_10810.1,2023,R1,23.6273318869794
6,Km_10812.1.1,2023,R1,11.767458062546051
7,Km_10910,2023,R1,1.771840031038292
8,Km_1116.1.23,2023,R1,0.0
9,Km_11263.1.2,2023,R1,0.0
10,Km_11376.3.3,2023,R1,4.955489279006633
11,Km_11561.4,2023,R1,0.0
12,Km_12398,2023,R1,31.030785131899556
13,Km_12411.5,2023,R1,0.0
14,Km_12542.1,2023,R1,25.81699893433433
15,Km_12787,2023,R1,0.0
16,Km_12865.2,2023,R1,15.176962280388013
17,Km_12920.7,2023,R1,29.177529717455265
18,Km_12937.1,2023,R1,14.111220127417193
19,Km_13072.2.3,2023,R1,0.0
20,Km_10015,2023,R2,4.892916683961939
21,Km_10019,2023,R2,0.0
22,Km_10056.3,2023,R2,9.964779092692012
23,Km_10565.2.3,2023,R2,46.105009776660005
24,Km_10577.3,2023,R2,2.7408272059066774
25,Km_10810.1,2023,R2,33.82101776669405
26,Km_10812.1.1,2023,R2,11.767458062546051
27,Km_10910,2023,R2,3.9270911008685245
28,Km_1116.1.23,2023,R2,0.0
29,Km_11263.1.2,2023,R2,0.0
30,Km_11376.3.3,2023,R2,51.90470852424291
31,Km_11561.4,2023,R2,24.897599357079475
32,Km_12398,2023,R2,59.24671113611555
33,Km_12411.5,2023,R2,13.399415741580786
34,Km_12542.1,2023,R2,23.21026273226746
35,Km_12787,2023,R2,0.0
36,Km_12865.2,2023,R2,41.98945147285168
37,Km_12920.7,2023,R2,43.67386284955734
38,Km_12937.1,2023,R2,47.44973942653383
39,Km_13072.2.3,2023,R2,3.012255077341658
40,Km_10015,2023,R3,14.812046313612315
41,Km_10019,2023,R3,33.315551233071325
42,Km_10056.3,2023,R3,12.116184604604708
43,Km_10565.2.3,2023,R3,58.18713235494523
44,Km_10577.3,2023,R3,54.169295198305456
45,Km_10810.1,2023,R3,44.46987784307254
46,Km_10812.1.1,2023,R3,79.34619021261027
47,Km_10910,2023,R3,51.626953445141396
48,Km_1116.1.23,2023,R3,56.28828054196624
49,Km_11263.1.2,2023,R3,30.25148560118658
50,Km_11376.3.3,2023,R3,74.77053494125111
51,Km_11561.4,2023,R3,49.098726228724395
52,Km_12398,2023,R3,67.95047633057155
53,Km_12411.5,2023,R3,36.21397463785579
54,Km_12542.1,2023,R3,25.033064738965972
55,Km_12787,2023,R3,9.000322125382436
56,Km_12865.2,2023,R3,71.79176505799516
57,Km_12920.7,2023,R3,48.283350458622145
58,Km_12937.1,2023,R3,37.29360658841578
59,Km_13072.2.3,2023,R3,30.153259084015755
60,Km_10015,2023,R4,6.727511151827087
61,Km_10019,2023,R4,2.8380210070543153
62,Km_10056.3,2023,R4,14.892502217917189
63,Km_10565.2.3,2023,R4,29.165723834998424
64,Km_10577.3,2023,R4,47.17030576342862
65,Km_10810.1,2023,R4,34.99541529122933
66,Km_10812.1.1,2023,R4,14.366274989191997
67,Km_10910,2023,R4,12.684883187749813
68,Km_1116.1.23,2023,R4,0.0
69,Km_11263.1.2,2023,R4,3.4223821861743167
70,Km_11376.3.3,2023,R4,1.6836762046665972
71,Km_11561.4,2023,R4,3.6029158272749733
72,Km_12398,2023,R4,15.009097486970363
73,Km_12411.5,2023,R4,0.0
74,Km_12542.1,2023,R4,37.399264160262284
75,Km_12787,2023,R4,0.7683601954812523
76,Km_12865.2,2023,R4,11.090470644496968
77,Km_12920.7,2023,R4,40.977126519509355
78,Km_12937.1,2023,R4,16.406757140446796
79,Km_13072.2.3,2023,R4,29.007866956961102
