,pointid,year,period,% bare soil
0,DM_176.6,2024,R1,47.20295760682155
1,Km_10019,2024,R1,0.0
2,Km_10056.3,2024,R1,0.0
3,Km_10183.4,2024,R1,0.0
4,Km_10910,2024,R1,0.0
5,Km_11227.2,2024,R1,0.0
6,Km_11396.7,2024,R1,0.558991321735234
7,Km_11561.7,2024,R1,0.0
8,Km_11563.6,2024,R1,0.0
9,Km_11564.5,2024,R1,0.0
10,Km_11579.15,2024,R1,0.0
11,Km_11594.1.2,2024,R1,0.0
12,Km_11631.1.2,2024,R1,1.4541177478479046
13,Km_12411.5,2024,R1,0.0
14,Km_12477.1,2024,R1,0.0
15,Km_13449.3,2024,R1,0.0
16,Km_13707,2024,R1,0.0
17,Km_13799.2,2024,R1,0.0
18,Km_13877,2024,R1,0.0
19,Km_14036.6,2024,R1,0.0
20,Km_14088.11,2024,R1,0.0
21,Km_14197.15,2024,R1,0.0
22,Km_14264.4,2024,R1,0.0
23,Km_14303.4,2024,R1,0.0
24,Km_14535.10,2024,R1,0.0
25,Km_14553.16,2024,R1,0.0
26,Km_14554.3,2024,R1,5.314136049418666
27,Km_14581.2.5,2024,R1,78.269686098158
28,Km_14583.7,2024,R1,19.51969517398541
29,Km_14980.20,2024,R1,0.0
30,Km_14981.5,2024,R1,0.0
31,Km_14985.2,2024,R1,0.0
32,Km_15203,2024,R1,11.65109572612429
33,Km_15471.15,2024,R1,0.0
34,Km_15836,2024,R1,0.0
35,Km_15867.15,2024,R1,39.04043963813754
36,Km_15882.2,2024,R1,6.585365610520253
37,Km_16186.13,2024,R1,0.0
38,Km_16250,2024,R1,0.0
39,Km_16263.5,2024,R1,10.560338278443385
40,Km_16407.3,2024,R1,0.0
41,Km_16429.1.2,2024,R1,0.0
42,Km_16944.16,2024,R1,10.842180610117412
43,Km_16959.2,2024,R1,0.0
44,Km_16987.3,2024,R1,0.0
45,Km_17005,2024,R1,0.0
46,Km_17034.5,2024,R1,11.253983130344668
47,Km_17059.11,2024,R1,0.0
48,Km_17133.9,2024,R1,0.0
49,Km_17165.1,2024,R1,0.0
50,Km_17173.2,2024,R1,0.0
51,Km_17185.7,2024,R1,0.0
52,Km_17216.1.1,2024,R1,2.1994972009799567
53,Km_17424.15,2024,R1,7.311360285837395
54,Km_17426,2024,R1,0.0
55,Km_17435.5,2024,R1,0.3949177493213047
56,Km_17493,2024,R1,0.0
57,Km_17566.3,2024,R1,0.0
58,Km_17707.4,2024,R1,0.0
59,Km_17729.12,2024,R1,0.0
60,Km_18036.1.1,2024,R1,0.0
61,Km_18819.3,2024,R1,0.0
62,Km_19073.2,2024,R1,0.0
63,Km_19078.3,2024,R1,0.0
64,Km_19091.6,2024,R1,0.0
65,Km_19175.9,2024,R1,0.0
66,Km_19178.20,2024,R1,0.0
67,Km_19586.1,2024,R1,0.0
68,Km_19747.1,2024,R1,0.0
69,Km_19747.16,2024,R1,0.0
70,Km_19881.2,2024,R1,17.576484609354424
71,Km_19888.3,2024,R1,0.0
72,Km_20075.6,2024,R1,0.0
73,Km_20076.5,2024,R1,0.0
74,Km_20264.1.5,2024,R1,0.0
75,Km_20879.5,2024,R1,0.0
76,Km_20889.1,2024,R1,0.0
