,pointid,year,period,% bare soil
0,Km_10015,2022,R1,34.82839562706831
1,Km_10019,2022,R1,23.06780909132647
2,Km_10056.3,2022,R1,19.215983683531153
3,Km_10565.2.3,2022,R1,55.53089928823973
4,Km_10577.3,2022,R1,60.41548053936909
5,Km_10810.1,2022,R1,35.29339734736235
6,Lm_11070,2022,R1,11.08835253394659
7,Lm_11568.1,2022,R1,75.70176613994903
8,Lm_15064.9,2022,R1,18.544298858517585
9,Lm_8486.3,2022,R1,46.2479428946991
10,Lm_8898.1.8,2022,R1,20.99661585148816
11,Lm_9709.1.6,2022,R1,46.196632028748574
12,Zn_10111.7,2022,R1,41.56815659065965
13,Zn_10583.5,2022,R1,32.72729730827235
14,Zn_11411.7,2022,R1,48.43781813801469
15,Km_10015,2022,R2,29.713073624796966
16,Km_10019,2022,R2,18.828707551919557
17,Km_10056.3,2022,R2,22.288363098646354
18,Km_10565.2.3,2022,R2,50.31607870712137
19,Km_10577.3,2022,R2,60.41548053936909
20,Km_10810.1,2022,R2,33.806490762898356
21,Lm_11070,2022,R2,14.91871252490683
22,Lm_11568.1,2022,R2,60.463153770513486
23,Lm_15064.9,2022,R2,18.544298858517585
24,Lm_8486.3,2022,R2,46.2479428946991
25,Lm_8898.1.8,2022,R2,20.99661585148816
26,Lm_9709.1.6,2022,R2,64.77564214037334
27,Zn_10111.7,2022,R2,39.44497186814427
28,Zn_10583.5,2022,R2,41.69615389258624
29,Zn_11411.7,2022,R2,48.43781813801469
30,Km_10015,2022,R3,29.498820396073665
31,Km_10019,2022,R3,20.526793139734323
32,Km_10056.3,2022,R3,46.80973635873216
33,Km_10565.2.3,2022,R3,56.92696190164518
34,Km_10577.3,2022,R3,63.916976165236896
35,Km_10810.1,2022,R3,42.96040072064991
36,Lm_11070,2022,R3,12.442826404721433
37,Lm_11568.1,2022,R3,57.065206440039326
38,Lm_15064.9,2022,R3,18.544298858517585
39,Lm_8486.3,2022,R3,59.68253937858794
40,Lm_8898.1.8,2022,R3,31.54552375469113
41,Lm_9709.1.6,2022,R3,72.80165207118674
42,Zn_10111.7,2022,R3,33.555514077080225
43,Zn_10583.5,2022,R3,41.696153892586224
44,Zn_11411.7,2022,R3,60.15898625461421
45,Km_10015,2022,R4,0.0
46,Km_10019,2022,R4,12.857603691571542
47,Km_10056.3,2022,R4,32.70346037814335
48,Km_10565.2.3,2022,R4,4.335303931554703
49,Km_10577.3,2022,R4,0.0
50,Km_10810.1,2022,R4,11.604422493958769
51,Lm_11070,2022,R4,0.7897539184732842
52,Lm_11568.1,2022,R4,0.0
53,Lm_15064.9,2022,R4,18.13768128113499
54,Lm_8486.3,2022,R4,4.9509698959436514
55,Lm_8898.1.8,2022,R4,0.0
56,Lm_9709.1.6,2022,R4,17.721555367161336
57,Zn_10111.7,2022,R4,18.445677901692843
58,Zn_10583.5,2022,R4,16.33897299410298
59,Zn_11411.7,2022,R4,11.65213737801601
