,pointid,year,period,% bare soil
0,DM_386.7,2022,R1,41.157623629709505
1,Lm_10274.7,2022,R1,48.342649671284484
2,Lm_10276.12,2022,R1,54.148053010112704
3,Lm_10626.4,2022,R1,22.957830053704875
4,Lm_10976.1,2022,R1,46.95854656957269
5,Lm_11070,2022,R1,11.920569095611663
6,Lm_11568.1,2022,R1,77.76593500734697
7,Lm_15064.9,2022,R1,20.927714146767883
8,Lm_15493.7,2022,R1,65.42559870710794
9,Lm_15507.1.3,2022,R1,38.051842632997044
10,Lm_16499,2022,R1,41.018272074095734
11,Lm_16502,2022,R1,34.26567660819289
12,Lm_18391.2,2022,R1,28.99417800408181
13,Lm_18408.4,2022,R1,76.95468660216837
14,Lm_18426.7,2022,R1,60.00089909883074
15,Lm_20687.1.15,2022,R1,38.07357184046824
16,Lm_23660,2022,R1,31.092482759377432
17,Lm_23808.12,2022,R1,28.325473938347596
18,Lm_25831,2022,R1,4.339530667137664
19,Lm_28084.7,2022,R1,12.184287115100545
20,Lm_28100.8,2022,R1,59.435664511532806
21,Lm_29262.4,2022,R1,37.96313944570291
22,Lm_31204.7,2022,R1,60.75108408393397
23,Lm_32746.7,2022,R1,63.07674149247771
24,Lm_3302,2022,R1,57.200825818618284
25,Lm_36251.1,2022,R1,58.1450818299225
26,Lm_36340.8,2022,R1,45.107344534227536
27,Lm_36674.1,2022,R1,50.12408420653024
28,Lm_37804.4,2022,R1,43.29685998640854
29,Lm_40976.11,2022,R1,81.35953873598541
30,Lm_42330.1,2022,R1,51.14217572494903
31,Lm_47073.2,2022,R1,65.44648283246991
32,Lm_5106,2022,R1,51.604332950156476
33,Lm_6334.6,2022,R1,50.93992939126307
34,Lm_6747.1,2022,R1,1.5237855331013093
35,Lm_7179.1.1,2022,R1,53.205860977437204
36,Lm_7576.2,2022,R1,10.282942678016786
37,Lm_7577.1.13,2022,R1,36.79009293370228
38,Lm_7577.1.17,2022,R1,42.64863557797092
39,Lm_8458.7.2,2022,R1,64.11925507378062
40,Lm_8481.6,2022,R1,48.34340420358692
41,Lm_8484.2.3,2022,R1,0.0
42,Lm_8486.3,2022,R1,49.53266338189943
43,Lm_8898.1.8,2022,R1,31.53753156315537
44,Lm_9709.1.6,2022,R1,46.53883628751194
45,Zn_10111.7,2022,R1,43.52504796398799
46,Zn_102166.5,2022,R1,53.277578207575495
47,Zn_103695.5,2022,R1,35.878178362322075
48,Zn_105462.1,2022,R1,17.551652451324323
49,Zn_10583.5,2022,R1,32.503719887309465
50,Zn_105980.5,2022,R1,34.74406527046791
51,Zn_113200.1,2022,R1,44.10904030124524
52,Zn_114013.6,2022,R1,29.222487013394883
53,Zn_11411.7,2022,R1,42.11133177009785
54,Zn_119428.1,2022,R1,50.755349587823105
55,Zn_12018.10,2022,R1,66.201528328222
56,Zn_12023.2,2022,R1,79.88554486682355
57,Zn_12233.18,2022,R1,61.85990034427263
58,Zn_12340.6,2022,R1,43.91523695058367
59,Zn_124534.8,2022,R1,40.691214576496904
60,Zn_124557.4,2022,R1,49.917296588181365
61,Zn_127029.1,2022,R1,76.16711767456694
62,Zn_129510.4,2022,R1,36.12985139311494
63,Zn_130118.2,2022,R1,33.43261718364354
64,Zn_13057.9,2022,R1,45.04011730807953
65,Zn_130761.1.1,2022,R1,48.69015745343976
66,Zn_131680.2,2022,R1,15.193564333343016
67,Zn_13339.13,2022,R1,46.545862103039084
68,Zn_134351,2022,R1,4.890213142670541
69,Zn_135839.8,2022,R1,60.304605895982675
70,Zn_138937.3,2022,R1,33.189423869419656
71,Zn_141666.4,2022,R1,8.92686286750059
72,Zn_141803.9,2022,R1,48.18013472804829
73,Zn_142248,2022,R1,54.819867408757815
74,Zn_14495.1,2022,R1,72.9966163402723
75,Zn_146709,2022,R1,15.248630129555952
76,Zn_148821.1.1,2022,R1,60.0842846602454
77,Zn_148962.6,2022,R1,10.480835142393003
78,Zn_15354.2.5,2022,R1,71.19619996586368
79,Zn_19057.3,2022,R1,3.42588269231204
80,Zn_19394.1,2022,R1,59.672565676979616
81,Zn_19449,2022,R1,41.11337504732838
82,Zn_19499.5,2022,R1,72.50067269646382
83,Zn_19592.4,2022,R1,12.83836753182143
84,Zn_20651.3,2022,R1,55.093239733544216
85,Zn_21102.1.9,2022,R1,38.468822093491
86,Zn_21373.4,2022,R1,19.884428559985608
87,Zn_21375.5,2022,R1,43.64969938890159
88,Zn_21500.1,2022,R1,25.173811638899483
89,Zn_21593.1.8,2022,R1,70.791410493977
90,Zn_21596.7,2022,R1,75.6810713562192
91,Zn_21642.2.1,2022,R1,34.716059213249714
92,Zn_21802.2,2022,R1,56.37318288232257
93,Zn_22040.1,2022,R1,16.634080860528474
94,Zn_2220.1.3,2022,R1,78.9380065151146
95,Zn_22318.1,2022,R1,74.31323387040307
96,Zn_22574.1,2022,R1,56.84820883139599
97,Zn_23132.1.1,2022,R1,19.601804574890057
98,Zn_23495.1,2022,R1,43.37910749642461
99,Zn_24082.3.5,2022,R1,78.07255251203777
100,Zn_24169.1.1,2022,R1,60.76953721224834
